"","gene1","gene2","max","min","spread","rms_mean","rms_auto"
"2326",30,65,0.415658107811171,0.415658101785391,6.02578004160748e-09,4.50334710083801e-07,4.27498939598094e-09
"2327",30,66,0.41563963165366,0.415639579672367,5.19812930477315e-08,1.80476940840759e-05,3.01743085835572e-08
"2328",30,67,0.41565780651208,0.415657687549376,1.18962704021008e-07,1.08305352226289e-07,8.34715276992698e-08
"2329",30,68,0.430736239348117,0.407025231305704,0.023711008042413,0.00881832856828924,0.0137396617331239
"2330",30,69,0.415674614399194,0.415674598930685,1.54685090292261e-08,1.69516536208903e-05,1.03822535151599e-08
"2331",30,70,0.420641795609197,0.410744911282355,0.00989688432684199,0.00400280001441094,0.00653349634616159
"2332",30,71,0.415656317702944,0.415656274353558,4.33493859697265e-08,1.36013570665799e-06,2.52962754616052e-08
"2333",30,72,0.415644966746031,0.415644959137565,7.60846602387844e-09,1.26914136746484e-05,5.2391839757874e-09
"2334",30,73,0.42511296650032,0.408688318323906,0.016424648176414,0.00610836952653023,0.00982832513190664
"2335",30,74,0.415675951136284,0.41567593171093,1.94253540475309e-08,1.82878552058329e-05,1.25931632404287e-08
"2336",30,75,0.415651570379352,0.415651559094663,1.12846890165663e-08,6.08842285129262e-06,6.9794962883841e-09
"2337",30,76,0.415671991984617,0.415671981446424,1.05381930404214e-08,1.43317547942566e-05,6.28408528522377e-09
"2338",30,77,0.415665905765507,0.415665872272999,3.34925079892301e-08,8.23581035974999e-06,1.97119325749022e-08
"2339",30,78,0.415657231532872,0.415657219732069,1.18008030014494e-08,4.28309675819775e-07,8.10004323926713e-09
"2340",30,79,0.415659864013877,0.415659335154973,5.28858904003116e-07,1.9654192043394e-06,3.09737305097753e-07
"2341",30,80,0.41562572044634,0.415625698758168,2.16881719805606e-08,3.19445055387748e-05,1.26139227445349e-08
"2342",30,81,0.41562572044634,0.415625698758168,2.16881719805606e-08,3.19445055387748e-05,1.26139227445349e-08
"2343",30,82,0.415650427085306,0.415650142434756,2.84650549964294e-07,7.36654676322477e-06,1.6887362948671e-07
"2344",30,83,0.416018317962774,0.414806124503255,0.00121219345951901,0.00049388720857541,0.000719589313106087
"2345",30,84,0.415661758384142,0.415661620093909,1.3829023298717e-07,4.03211884393118e-06,8.27083911708227e-08
"2346",30,85,0.415648087503069,0.415648003745319,8.37577499579467e-08,9.61104559939878e-06,4.96275690704595e-08
"2347",30,86,0.415659689324125,0.415659640916911,4.84072140150005e-08,2.0115867712593e-06,3.69968964101065e-08
"2348",30,87,0.415659689324125,0.415659640916911,4.84072140150005e-08,2.0115867712593e-06,3.69968964101065e-08
"2349",30,88,0.415670357979298,0.415670337241104,2.07381939953954e-08,1.26925870549106e-05,1.30648911247318e-08
"2350",30,89,0.415670421254988,0.415670396211652,2.50433359605395e-08,1.27545389376027e-05,1.51485050009722e-08
"2351",30,90,0.415644046033775,0.415644008645356,3.73884190274509e-08,1.36264769662508e-05,2.28026135734948e-08
"2352",30,91,0.415648994372533,0.415648948828862,4.55436710011803e-08,8.68201161617817e-06,2.63692627793152e-08
"2353",30,92,0.415670186639864,0.41567016810257,1.85372939776052e-08,1.25234335779722e-05,1.08878035929903e-08
"2354",30,93,0.41564809181487,0.415647991622751,1.00192118990261e-07,9.61106334751703e-06,5.80573875486767e-08
"2355",30,94,0.415627692600249,0.415627688322552,4.27769702993075e-09,2.99644290282398e-05,2.92026666575409e-09
"2356",31,32,0.415643695310905,0.415643605856242,8.94546630103576e-08,1.39940095410421e-05,5.43053323098176e-08
"2357",31,33,0.415655029562883,0.415654896562207,1.33000676028061e-07,2.69835390341227e-06,7.75469925296452e-08
"2358",31,34,0.420449658241241,0.411918841328861,0.00853081691238,0.00360316707316966,0.00530385008017756
"2359",31,35,0.415663149491374,0.415662608803481,5.40687893013647e-07,5.1705722753712e-06,3.26110662959716e-07
"2360",31,36,0.415669390533374,0.415669240094474,1.50438900003991e-07,1.16613415040377e-05,8.7279898712646e-08
"2361",31,37,0.427370552574857,0.398960475616831,0.028410076958026,0.0112184387334751,0.0182929946524136
"2362",31,38,0.424919292357426,0.396310101469486,0.02860919088794,0.0113927992285315,0.0185832851087964
"2363",31,39,0.422015599115925,0.408148763018285,0.01386683609764,0.00544774132703632,0.00870331896858389
"2364",31,40,0.415656170893005,0.415655708599969,4.62293036018746e-07,1.7250667135605e-06,2.6963014419268e-07
"2365",31,41,0.415655547279676,0.415655546444543,8.35133018295409e-10,2.10788520019098e-06,5.79019067634876e-10
"2366",31,42,0.41572233496229,0.415722334407524,5.54766010907315e-10,6.46800500850173e-05,3.72757745912123e-10
"2367",31,43,0.415652542552048,0.415652382884547,1.59667500998495e-07,5.19743074766368e-06,9.63109515867385e-08
"2368",31,44,0.419508358076884,0.41368300953392,0.00582534854296402,0.00227600472355409,0.00344000037248672
"2369",31,45,0.415661434539747,0.415661268146754,1.66392992995146e-07,3.67780076085739e-06,1.01675439899416e-07
"2370",31,46,0.415643553830206,0.415643533070778,2.07594280099421e-08,1.41127547518371e-05,1.26349088669991e-08
"2371",31,47,0.415645228534557,0.415645224437872,4.09668499123939e-09,1.24280641498426e-05,2.3731883958815e-09
"2372",31,48,0.415676961760391,0.415676940789805,2.09705859899323e-08,1.92927385587397e-05,1.37151213776742e-08
"2373",31,49,0.415657976276966,0.415657902886652,7.33903139926717e-08,2.84308900945177e-07,4.35607467981976e-08
"2374",31,50,0.415707796569194,0.415707791752076,4.8171179822809e-09,5.01399745002988e-05,3.21579208925702e-09
"2375",31,51,0.415658069695744,0.415657759148164,3.10547579984721e-07,2.63583955056145e-07,1.87095727981208e-07
"2376",31,52,0.415722334992423,0.415722334423795,5.68627978037028e-10,6.46800500852796e-05,3.7212861406333e-10
"2377",31,53,0.415658178397931,0.415658038548908,1.3984902302866e-07,4.72528833774436e-07,8.48048108712582e-08
"2378",31,54,0.415660403065767,0.415660214827799,1.88237967990723e-07,2.65137079644594e-06,1.0905743504049e-07
"2379",31,55,0.415657445249615,0.415657029828573,4.15421042010422e-07,4.54755105667047e-07,2.45235681692338e-07
"2380",31,56,0.415665637577226,0.415665581008861,5.65683650477489e-08,7.95741855266294e-06,3.35822541030613e-08
"2381",31,57,0.415653540931422,0.415653484132735,5.67986869759451e-08,4.14520978830006e-06,3.61928870968471e-08
"2382",31,58,0.415649963158925,0.415649764034382,1.99124543021068e-07,7.79566664200047e-06,1.15316215492647e-07
"2383",31,59,0.415667787558847,0.415667763297882,2.42609649592218e-08,1.01210416323407e-05,1.46138773821096e-08
"2384",31,60,0.415651348025827,0.415651240262791,1.0776303599469e-07,6.35727999792244e-06,6.37226673740753e-08
"2385",31,61,0.415645356953359,0.415644697941651,6.59011708037394e-07,1.26717445339532e-05,3.89960204746379e-07
"2386",31,62,0.415659997341192,0.415659987495699,9.84549303195692e-09,2.33676874274341e-06,6.01271498646062e-09
"2387",31,63,0.415656749089402,0.415656604011354,1.45078047963931e-07,9.94382681167898e-07,8.85379637662726e-08
